Nº NF-e/RPS,Série,Status,Data Emissão,Natureza da Operação,Dados do Destinatário,CPF/CNPJ,Valor Total,Chave DANFE
68,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,120,28180110177060000138650010000000681483663268
69,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"97,4",28180110177060000138650010000000691050497954
70,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"54,32",28180110177060000138650010000000701422216049
71,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"123,82",28180110177060000138650010000000711106106805
72,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,58",28180110177060000138650010000000721508081596
73,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"152,52",28180110177060000138650010000000731956880341
74,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"128,53",28180110177060000138650010000000741418866610
75,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"156,99",28180110177060000138650010000000751110652168
76,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,5",28180110177060000138650010000000761520224570
77,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,97",28180110177060000138650010000000771945460841
78,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"3,7",28180110177060000138650010000000781385981202
79,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"15,5",28180110177060000138650010000000791085509157
80,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"166,77",28180110177060000138650010000000801919559319
81,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"264,7",28180110177060000138650010000000811611251465
82,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"279,53",28180110177060000138650010000000821021958126
83,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"164,94",28180110177060000138650010000000831447344839
84,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"108,5",28180110177060000138650010000000841923769860
85,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"100,49",28180110177060000138650010000000851607750095
86,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,74",28180110177060000138650010000000861010935358
87,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"189,23",28180110177060000138650010000000871459579720
88,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"123,55",28180110177060000138650010000000881895272412
89,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"145,13",28180110177060000138650010000000891571388323
90,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"120,27",28180110177060000138650010000000901946978749
91,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,30,28180110177060000138650010000000911521649121
92,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,72",28180110177060000138650010000000921112105297
93,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,2",28180110177060000138650010000000931420355933
94,1,Emitida,09/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,9",28180110177060000138650010000000941959206021
95,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"120,21",28180110177060000138650010000000951510618741
96,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,19",28180110177060000138650010000000961108611549
97,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"131,2",28180110177060000138650010000000971424574094
98,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"38,16",28180110177060000138650010000000981984905328
99,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"90,3",28180110177060000138650010000000991543938507
100,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"117,49",28180110177060000138650010000001001709705895
101,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"107,09",28180110177060000138650010000001011760384879
102,1,Emitida,10/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"68,65",28180110177060000138650010000001021358644338
103,1,Emitida,11/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"264,75",28180110177060000138650010000001031175279786
104,1,Emitida,11/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"38,51",28180110177060000138650010000001041696572268
105,1,Emitida,11/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"137,5",28180110177060000138650010000001051770813712
106,1,Emitida,11/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,4",28180110177060000138650010000001061361003100
107,1,Emitida,12/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"171,4",28180110177060000138650010000001071169743742
108,1,Emitida,12/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"28,2",28180110177060000138650010000001081730562621
109,1,Emitida,12/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"101,5",28180110177060000138650010000001091796817838
110,1,Emitida,12/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,374,28180110177060000138650010000001101674974620
111,1,Emitida,12/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"78,8",28180110177060000138650010000001111858274466
112,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"48,4",28180110177060000138650010000001121261177707
113,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"23,14",28180110177060000138650010000001131210563569
114,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"141,73",28180110177060000138650010000001141669430977
