Nº NF-e/RPS,Série,Status,Data Emissão,Natureza da Operação,Dados do Destinatário,CPF/CNPJ,Valor Total,Chave DANFE
3599,1,Emitida,12/02/2020,Venda dentro do estado,Ao Consumidor,,"12,8",28200210177060000138650010000035991795394836
3600,1,Emitida,12/02/2020,Venda dentro do estado,Ao Consumidor,,"131,28",28200210177060000138650010000036001380484945
3601,1,Emitida,12/02/2020,Venda dentro do estado,Ao Consumidor,,189,28200210177060000138650010000036011087842920
3602,1,Emitida,12/02/2020,Venda dentro do estado,Ao Consumidor,,"72,06",28200210177060000138650010000036021560055559
3603,1,Emitida,12/02/2020,Venda dentro do estado,Ao Consumidor,,82,28200210177060000138650010000036031969780366
3604,1,Emitida,13/02/2020,Venda dentro do estado,Ao Consumidor,,"89,63",28200210177060000138650010000036041401528619
3605,1,Emitida,13/02/2020,Venda dentro do estado,Ao Consumidor,,"213,88",28200210177060000138650010000036051069961261
3606,1,Emitida,13/02/2020,Venda dentro do estado,Ao Consumidor,,"47,3",28200210177060000138650010000036061534149540
3607,1,Emitida,13/02/2020,Venda dentro do estado,Ao Consumidor,,"136,53",28200210177060000138650010000036071998345442
3608,1,Emitida,13/02/2020,Venda dentro do estado,Ao Consumidor,,1542,28200210177060000138650010000036081434536431
3609,1,Emitida,14/02/2020,Venda dentro do estado,Ao Consumidor,,"51,06",28200210177060000138650010000036091094982837
3610,1,Emitida,14/02/2020,Venda dentro do estado,Ao Consumidor,,"109,22",28200210177060000138650010000036101470634179
3611,1,Emitida,14/02/2020,Venda dentro do estado,Ao Consumidor,,"81,1",28200210177060000138650010000036111060852262
3612,1,Emitida,14/02/2020,Venda dentro do estado,Ao Consumidor,,"149,19",28200210177060000138650010000036121587476802
3613,1,Emitida,14/02/2020,Venda dentro do estado,Ao Consumidor,,"122,51",28200210177060000138650010000036131880176032
3614,1,Emitida,15/02/2020,Venda dentro do estado,Ao Consumidor,,"102,9",28200210177060000138650010000036141499206867
3615,1,Emitida,15/02/2020,Venda dentro do estado,Ao Consumidor,,"68,5",28200210177060000138650010000036151034953870
3616,1,Emitida,15/02/2020,Venda dentro do estado,Ao Consumidor,,56,28200210177060000138650010000036161569587524
3617,1,Emitida,17/02/2020,Venda dentro do estado,Ao Consumidor,,"101,38",28200210177060000138650010000036171901212090
3618,1,Emitida,17/02/2020,Venda dentro do estado,Ao Consumidor,,"101,31",28200210177060000138650010000036181461435795
3619,1,Emitida,17/02/2020,Venda dentro do estado,Ao Consumidor,,"57,3",28200210177060000138650010000036191004925207
3620,1,Emitida,17/02/2020,Venda dentro do estado,Ao Consumidor,,"97,83",28200210177060000138650010000036201326564351
3621,1,Emitida,17/02/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"121,76",28200210177060000138650010000036211143234023
3622,1,Emitida,18/02/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"138,9",28200210177060000138650010000036221740292802
3623,1,Emitida,18/02/2020,Venda dentro do estado,Ao Consumidor,,"40,4",28200210177060000138650010000036231790998390
3624,1,Emitida,18/02/2020,Venda dentro do estado,Ao Consumidor,,"872,82",28200210177060000138650010000036241331140199
3625,1,Emitida,18/02/2020,Venda dentro do estado,Ao Consumidor,,"34,7",28200210177060000138650010000036251139854119
3626,1,Emitida,18/02/2020,Venda dentro do estado,Ao Consumidor,,"124,33",28200210177060000138650010000036261728903782
3627,1,Emitida,19/02/2020,Venda dentro do estado,Ao Consumidor,,"138,39",28200210177060000138650010000036271803110885
3628,1,Emitida,19/02/2020,Venda dentro do estado,Ao Consumidor,,"12,8",28200210177060000138650010000036281364460450
3629,1,Emitida,19/02/2020,Venda dentro do estado,Ao Consumidor,,"12,8",28200210177060000138650010000036291165553901
3630,1,Emitida,19/02/2020,Venda dentro do estado,Ao Consumidor,,"206,31",28200210177060000138650010000036301291315012
3631,1,Emitida,19/02/2020,Venda dentro do estado,Ao Consumidor,,"69,75",28200210177060000138650010000036311240666516
3632,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,"67,41",28200210177060000138650010000036321642429796
3633,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,770,28200210177060000138650010000036331825702898
3634,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,"212,09",28200210177060000138650010000036341303419873
3635,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,"46,2",28200210177060000138650010000036351229269866
3636,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,"142,75",28200210177060000138650010000036361639057491
3637,1,Emitida,20/02/2020,Venda dentro do estado,Ao Consumidor,,"148,66",28200210177060000138650010000036371830286375
3638,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,160,28200210177060000138650010000036381267058593
3639,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,375,28200210177060000138650010000036391200772917
3640,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,"253,02",28200210177060000138650010000036401023050664
3641,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,"109,23",28200210177060000138650010000036411448439349
3642,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,"45,9",28200210177060000138650010000036421920400380
3643,1,Emitida,21/02/2020,Venda dentro do estado,Ao Consumidor,,"139,47",28200210177060000138650010000036431612094498
3644,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"55,36",28200210177060000138650010000036441009840814
3645,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"158,54",28200210177060000138650010000036451458487167
3646,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"66,7",28200210177060000138650010000036461922926809
3647,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"67,3",28200210177060000138650010000036471606909000
3648,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"95,89",28200210177060000138650010000036481043709279
3649,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"52,01",28200210177060000138650010000036491484613220
3650,1,Emitida,22/02/2020,Venda dentro do estado,Ao Consumidor,,"57,6",28200210177060000138650010000036501112955910
3651,1,Emitida,24/02/2020,Venda dentro do estado,Ao Consumidor,,"17,91",28200210177060000138650010000036511421204703
3652,1,Emitida,24/02/2020,Venda dentro do estado,Ao Consumidor,,"164,1",28200210177060000138650010000036521948065603
3653,1,Emitida,24/02/2020,Venda dentro do estado,Ao Consumidor,,"34,8",28200210177060000138650010000036531522734133
3654,1,Emitida,24/02/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"72,93",28200210177060000138650010000036541107762792
3655,1,Emitida,24/02/2020,Venda dentro do estado,Ao Consumidor,,"179,39",28200210177060000138650010000036551423723502
3656,1,Emitida,26/02/2020,Venda dentro do estado,Ao Consumidor,,"76,64",28200210177060000138650010000036561958121041
3657,1,Emitida,26/02/2020,Venda dentro do estado,Ao Consumidor,,450,28200210177060000138650010000036571509531924
3658,1,Emitida,26/02/2020,Venda dentro do estado,Ao Consumidor,,"62,71",28200210177060000138650010000036581070852377
3659,1,Emitida,26/02/2020,Venda dentro do estado,Ao Consumidor,,"98,2",28200210177060000138650010000036591394799320
3660,1,Emitida,26/02/2020,Venda dentro do estado,Ao Consumidor,,"42,98",28200210177060000138650010000036601217976352
3661,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,"73,13",28200210177060000138650010000036611253018070
3662,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,450,28200210177060000138650010000036621849840508
3663,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,"98,4",28200210177060000138650010000036631682174043
3664,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,"88,76",28200210177060000138650010000036641190020910
3665,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,"101,5",28200210177060000138650010000036651279777589
3666,1,Emitida,27/02/2020,Venda dentro do estado,Ao Consumidor,,109,28200210177060000138650010000036661869063360
3667,1,Emitida,28/02/2020,Venda dentro do estado,Ao Consumidor,,"102,99",28200210177060000138650010000036671662227728
3668,1,Emitida,28/02/2020,Venda dentro do estado,Ao Consumidor,,78,28200210177060000138650010000036681222479572
3669,1,Emitida,28/02/2020,Venda dentro do estado,Ao Consumidor,,"64,66",28200210177060000138650010000036691304371926
3670,1,Emitida,28/02/2020,Venda dentro do estado,Ao Consumidor,,103,28200210177060000138650010000036701182483041
3671,1,Emitida,28/02/2020,Venda dentro do estado,Ao Consumidor,,"87,9",28200210177060000138650010000036711350206582
3672,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,"101,26",28200210177060000138650010000036721752221460
3673,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,"181,85",28200210177060000138650010000036731717122520
3674,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,"75,9",28200210177060000138650010000036741162544320
3675,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,"44,93",28200210177060000138650010000036751369437074
3676,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,59,28200210177060000138650010000036761778973344
3677,1,Emitida,29/02/2020,Venda dentro do estado,Ao Consumidor,,"102,83",28200210177060000138650010000036771689159479
3678,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,"110,85",28200310177060000138650010000036781125321463
3679,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,"187,5",28200310177060000138650010000036791339834671
3680,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,"216,38",28200310177060000138650010000036801660803158
3681,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,"47,73",28200310177060000138650010000036811867545457
3682,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,128,28200310177060000138650010000036821278288260
3683,1,Emitida,02/03/2020,Venda dentro do estado,Ao Consumidor,,"176,16",28200310177060000138650010000036831188567796
3684,1,Emitida,03/03/2020,Venda dentro do estado,Ao Consumidor,,"149,1",28200310177060000138650010000036841679636892
3685,1,Emitida,03/03/2020,Venda dentro do estado,Ao Consumidor,,"68,15",28200310177060000138650010000036851847514822
3686,1,Emitida,03/03/2020,Venda dentro do estado,Ao Consumidor,,"1647,4",28200310177060000138650010000036861250660024
3687,1,Emitida,03/03/2020,Venda dentro do estado,Ao Consumidor,,"202,84",28200310177060000138650010000036871215471609
3688,1,Emitida,03/03/2020,Venda dentro do estado,Ao Consumidor,,"81,1",28200310177060000138650010000036881653632783
3689,1,Emitida,04/03/2020,Venda dentro do estado,Ao Consumidor,,"257,3",28200310177060000138650010000036891813524468
3690,1,Emitida,04/03/2020,Venda dentro do estado,Ao Consumidor,,"73,62",28200310177060000138650010000036901687763480
3691,1,Emitida,04/03/2020,Venda dentro do estado,Ao Consumidor,,"223,71",28200310177060000138650010000036911777426854
3692,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"83,5",28200310177060000138650010000036921367862023
3693,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"94,9",28200310177060000138650010000036931161176946
3694,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"85,38",28200310177060000138650010000036941714674917
3695,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"9,3",28200310177060000138650010000036951749806256
3696,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"159,3",28200310177060000138650010000036961347823773
3697,1,Emitida,05/03/2020,Venda dentro do estado,Ao Consumidor,,"96,99",28200310177060000138650010000036971180003066
3698,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"128,56",28200310177060000138650010000036981743721048
3699,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"131,38",28200310177060000138650010000036991786594762
3700,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"145,1",28200310177060000138650010000037001375639641
3701,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"73,2",28200310177060000138650010000037011090743820
3702,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"136,88",28200310177060000138650010000037021555145463
3703,1,Emitida,06/03/2020,Venda dentro do estado,Ao Consumidor,,"89,78",28200310177060000138650010000037031972730799
3704,1,Emitida,07/03/2020,Venda dentro do estado,Ao Consumidor,,"83,89",28200310177060000138650010000037041402528220
3705,1,Emitida,07/03/2020,Venda dentro do estado,Ao Consumidor,,"168,12",28200310177060000138650010000037051063100344
3706,1,Emitida,07/03/2020,Venda dentro do estado,Ao Consumidor,,92,28200310177060000138650010000037061535099600
3707,1,Emitida,07/03/2020,Venda dentro do estado,Ao Consumidor,,"112,96",28200310177060000138650010000037071991549297
3708,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"72,81",28200310177060000138650010000037081431581958
3709,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"64,4",28200310177060000138650010000037091099896474
3710,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"103,68",28200310177060000138650010000037101473535073
3711,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"95,25",28200310177060000138650010000037111056006963
3712,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"131,08",28200310177060000138650010000037121590427220
3713,1,Emitida,09/03/2020,Venda dentro do estado,Ao Consumidor,,"67,76",28200310177060000138650010000037131875265951
3714,1,Emitida,10/03/2020,Venda dentro do estado,Ao Consumidor,,"91,37",28200310177060000138650010000037141492345950
3715,1,Emitida,10/03/2020,Venda dentro do estado,Ao Consumidor,,"655,8",28200310177060000138650010000037151035953466
3716,1,Emitida,10/03/2020,Venda dentro do estado,Ao Consumidor,,"114,75",28200310177060000138650010000037161562791370
3717,1,Emitida,10/03/2020,Venda dentro do estado,Ao Consumidor,,"135,34",28200310177060000138650010000037171902162142
3718,1,Emitida,10/03/2020,Venda dentro do estado,Ao Consumidor,,"133,2",28200310177060000138650010000037181466349446
3719,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"147,15",28200310177060000138650010000037191001970715
3720,1,Nota Fiscal com Erros,11/03/2020,Venda dentro do estado,Ao Consumidor,00000000000000,375,28200310177060000138650010000037201321654513
3721,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"132,15",28200310177060000138650010000037211146184700
3722,1,Nota Fiscal com Erros,11/03/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"615,7",28200310177060000138650010000037221735447720
3723,1,Nota Fiscal com Erros,11/03/2020,Venda dentro do estado,Ao Consumidor,,225,28200310177060000138650010000037231793899520
3724,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"171,9",28200310177060000138650010000037241332090500
3725,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"53,2",28200310177060000138650010000037251133058212
3726,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"90,72",28200310177060000138650010000037261729903602
3727,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"45,9",28200310177060000138650010000037271796250191
3728,1,Emitida,11/03/2020,Venda dentro do estado,Ao Consumidor,,"82,24",28200310177060000138650010000037281361563363
3729,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"19,61",28200310177060000138650010000037291170395382
3730,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"83,1",28200310177060000138650010000037301294265686
3731,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"106,91",28200310177060000138650010000037311235756676
3732,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"101,05",28200310177060000138650010000037321645330919
3733,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,486,28200310177060000138650010000037331820857825
3734,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,300,28200310177060000138650010000037341296623988
3735,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"48,6",28200310177060000138650010000037351230220165
3736,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"6,8",28200310177060000138650010000037361632196819
3737,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"70,73",28200310177060000138650010000037371831286190
3738,1,Emitida,12/03/2020,Venda dentro do estado,Ao Consumidor,,"129,8",28200310177060000138650010000037381271900090
3739,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"112,84",28200310177060000138650010000037391197875810
3740,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"182,59",28200310177060000138650010000037401016246906
3741,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"144,92",28200310177060000138650010000037411449381785
3742,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"97,92",28200310177060000138650010000037421913547078
3743,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"223,69",28200310177060000138650010000037431613101691
3744,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,153,28200310177060000138650010000037441012798881
3745,1,Emitida,13/03/2020,Venda dentro do estado,Ao Consumidor,,"148,63",28200310177060000138650010000037451453584708
3746,1,Emitida,14/03/2020,Venda dentro do estado,Ao Consumidor,,"152,15",28200310177060000138650010000037461925820075
3747,1,Emitida,14/03/2020,Venda dentro do estado,Ao Consumidor,,"100,78",28200310177060000138650010000037471602056060
3748,1,Emitida,14/03/2020,Venda dentro do estado,Ao Consumidor,,"120,89",28200310177060000138650010000037481042698000
3749,1,Emitida,14/03/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"58,78",28200310177060000138650010000037491491470080
3750,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"111,01",28200310177060000138650010000037501113898358
3751,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"132,99",28200310177060000138650010000037511414400950
3752,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"22,5",28200310177060000138650010000037521949072807
3753,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"170,3",28200310177060000138650010000037531515880838
3754,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"287,02",28200310177060000138650010000037541102860353
3755,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"118,1",28200310177060000138650010000037551426681567
3756,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,"81,61",28200310177060000138650010000037561953268116
3757,1,Emitida,16/03/2020,Venda dentro do estado,Ao Consumidor,,66,28200310177060000138650010000037571512425187
3758,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"48,1",28200310177060000138650010000037581077709234
3759,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"114,7",28200310177060000138650010000037591393788057
3760,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,92,28200310177060000138650010000037601211123292
3761,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"102,2",28200310177060000138650010000037611254025540
3762,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"90,3",28200310177060000138650010000037621843036960
3763,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"93,73",28200310177060000138650010000037631683116712
3764,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"97,4",28200310177060000138650010000037641192914438
3765,1,Emitida,17/03/2020,Venda dentro do estado,Ao Consumidor,,"132,6",28200310177060000138650010000037651274924892
3766,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"114,37",28200310177060000138650010000037661872021648
3767,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"119,44",28200310177060000138650010000037671657325481
3768,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"713,75",28200310177060000138650010000037681221540943
3769,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"186,06",28200310177060000138650010000037691311171871
3770,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"83,4",28200310177060000138650010000037701183490490
3771,1,Emitida,18/03/2020,Venda dentro do estado,Ao Consumidor,,"85,1",28200310177060000138650010000037711343353540
3772,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"133,6",28200310177060000138650010000037721753164132
3773,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"142,6",28200310177060000138650010000037731710318992
3774,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"23,2",28200310177060000138650010000037741157691653
3775,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"179,1",28200310177060000138650010000037751372330594
3776,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"101,6",28200310177060000138650010000037761774071124
3777,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"149,37",28200310177060000138650010000037771692117748
3778,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"106,7",28200310177060000138650010000037781132121410
3779,1,Emitida,19/03/2020,Venda dentro do estado,Ao Consumidor,,"87,33",28200310177060000138650010000037791338896032
3780,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"146,92",28200310177060000138650010000037801657909884
3781,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,675,28200310177060000138650010000037811872398381
3782,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"109,37",28200310177060000138650010000037821275330202
3783,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"71,53",28200310177060000138650010000037831193470253
3784,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"139,84",28200310177060000138650010000037841686490216
3785,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"148,5",28200310177060000138650010000037851846507615
3786,1,Emitida,20/03/2020,Venda dentro do estado,Ao Consumidor,,"75,1",28200310177060000138650010000037861257463785
3787,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"111,31",28200310177060000138650010000037871214529161
3788,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"145,07",28200310177060000138650010000037881648726746
3789,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"94,9",28200310177060000138650010000037891816486546
3790,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"58,7",28200310177060000138650010000037901692616410
3791,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"70,36",28200310177060000138650010000037911774533590
3792,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"94,28",28200310177060000138650010000037921372764471
3793,1,Emitida,21/03/2020,Venda dentro do estado,Ao Consumidor,,"40,8",28200310177060000138650010000037931158218884
3794,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"140,3",28200310177060000138650010000037941713667726
3795,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"166,8",28200310177060000138650010000037951756659552
3796,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"126,94",28200310177060000138650010000037961346881325
3797,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"153,8",28200310177060000138650010000037971186806816
3798,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"140,8",28200310177060000138650010000037981746683134
3799,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"157,4",28200310177060000138650010000037991781688721
3800,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"78,4",28200310177060000138650010000038001417883621
3801,1,Emitida,23/03/2020,Venda dentro do estado,Ao Consumidor,,"133,55",28200310177060000138650010000038011109699665
3802,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,"55,4",28200310177060000138650010000038021519241488
3803,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,495,28200310177060000138650010000038031944508225
3804,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,42,28200310177060000138650010000038041423199132
3805,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,"216,75",28200310177060000138650010000038051107059412
3806,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,"134,09",28200310177060000138650010000038061509064582
3807,1,Emitida,24/03/2020,Venda dentro do estado,Ao Consumidor,,"89,6",28200310177060000138650010000038071957832858
3808,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,"71,71",28200310177060000138650010000038081397011657
3809,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,852,28200310177060000138650010000038091073251463
3810,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,"136,07",28200310177060000138650010000038101444817169
3811,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,"70,9",28200310177060000138650010000038111019607628
3812,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,"77,6",28200310177060000138650010000038121608902990
3813,1,Emitida,25/03/2020,Venda dentro do estado,Ao Consumidor,,"80,18",28200310177060000138650010000038131917029857
3814,1,Emitida,26/03/2020,Venda dentro do estado,Ao Consumidor,,"187,55",28200310177060000138650010000038141458149405
3815,1,Emitida,26/03/2020,Venda dentro do estado,Ao Consumidor,,"11,5",28200310177060000138650010000038151009438350
3816,1,Emitida,26/03/2020,Venda dentro do estado,Ao Consumidor,,"142,73",28200310177060000138650010000038161606255113
3817,1,Emitida,26/03/2020,Venda dentro do estado,Ao Consumidor,,"137,55",28200310177060000138650010000038171922337750
3818,1,Emitida,27/03/2020,Venda dentro do estado,Ao Consumidor,,"109,2",28200310177060000138650010000038181487134088
3819,1,Emitida,27/03/2020,Venda dentro do estado,Ao Consumidor,,675,28200310177060000138650010000038191046287351
3820,1,Emitida,27/03/2020,Venda dentro do estado,Ao Consumidor,,"95,22",28200310177060000138650010000038201347933385
3821,1,Emitida,27/03/2020,Venda dentro do estado,Ao Consumidor,,"194,24",28200310177060000138650010000038211180144991
3822,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"126,46",28200310177060000138650010000038221714532952
3823,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"83,65",28200310177060000138650010000038231749696606
3824,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"118,9",28200310177060000138650010000038241367750641
3825,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"32,2",28200310177060000138650010000038251161036924
3826,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"48,4",28200310177060000138650010000038261687903478
3827,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"67,8",28200310177060000138650010000038271777538210
3828,1,Emitida,28/03/2020,Venda dentro do estado,Ao Consumidor,,"72,1",28200310177060000138650010000038281343216792
3829,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,"86,3",28200310177060000138650010000038291128516830
3830,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,"208,53",28200310177060000138650010000038301250558080
3831,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,675,28200310177060000138650010000038311215337215
3832,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,00000000000000,"130,29",28200310177060000138650010000038321679771328
3833,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,"71,9",28200310177060000138650010000038331847616794
3834,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,"101,22",28200310177060000138650010000038341278392061
3835,1,Emitida,30/03/2020,Venda dentro do estado,Ao Consumidor,,"74,01",28200310177060000138650010000038351188700120
3836,1,Emitida,31/03/2020,Venda dentro do estado,Ao Consumidor,,"72,16",28200310177060000138650010000038361660670860
3837,1,Emitida,31/03/2020,Venda dentro do estado,Ao Consumidor,,"135,4",28200310177060000138650010000038371867441670
3838,1,Emitida,31/03/2020,Venda dentro do estado,Ao Consumidor,,"82,74",28200310177060000138650010000038381307933044
